Timestamp (ms),Smoothed Speed (mm/s)
1630002058920,2180.871923411978
1630002058937,2132.049472414383
1630002058953,2087.19158804362
1630002058970,2042.2962044668604
1630002058987,2004.4728051568904
1630002059003,2010.1683966966882
1630002059020,1947.496044368482
1630002059037,1882.878076639915
1630002059053,1945.4193286950413
1630002059070,1886.6694804947479
1630002059087,1881.508106952205
1630002059103,1821.4578927805007
1630002059120,1780.3534963332131
1630002059137,1762.2344097814373
1630002059153,1757.5341290920614
1630002059170,1705.337068356934
1630002059187,1676.2428042702054
1630002059203,1703.0143919106372
1630002059220,1757.1520990250608
1630002059237,1725.2623495819357
1630002059253,1695.46163947246
1630002059270,1713.1936977545577
1630002059287,1752.2836999230744
1630002059303,1701.7636386630945
1630002059320,1643.3898769764032
1630002059337,1639.6644251056982
1630002059353,1611.9409100223415
1630002059370,1583.297834726141
1630002059387,1550.6909014478279
1630002059403,1509.1749692510273
1630002059420,1522.6187515249997
1630002059437,1553.2355626761012
1630002059453,1716.5813601407935
1630002059470,1782.4144350578247
1630002059486,1805.4205466841238
1630002059503,1746.8980520152795
1630002059520,1767.1720047404426
1630002059537,1771.4134626151063
1630002059553,1705.928744184887
1630002059570,1671.0110000209988
1630002059587,1657.4749120196507
1630002059603,1854.7577061880506
1630002059620,1914.2520607034085
1630002059637,1849.1625325896357
1630002059653,1970.1105194639347
1630002059670,2104.3491880189868
1630002059687,2157.913120088618
1630002059703,2130.801853323141
1630002059720,2163.3448404214764
1630002059737,2591.870410145505
1630002059753,2569.8284934166168
1630002059770,2548.565134478431
1630002059787,2483.989752000658
1630002059803,2336.017695855046
1630002059820,2310.6896000535535
1630002059837,2253.4277242445246
1630002059853,2196.589780330896
1630002059870,2462.671843521796
1630002059887,2346.102718487867
1630002059903,2249.541240662733
1630002059920,2361.5435971192846
1630002059937,2298.301406145429
1630002059953,2351.027624563654
1630002059970,2413.0421124118043
1630002059986,2442.3673208087666
1630002060003,2742.933307060321
1630002060020,2661.89134974253
1630002060037,2689.593416764843
1630002060053,2546.4709895437186
1630002060070,2439.7659950050156
1630002060087,2466.568391795559
1630002060103,2380.5900143660665
1630002060120,2374.7547953178596
1630002060137,2345.5031104386435
1630002060153,2235.174577644248
1630002060170,2222.7293368242276
1630002060187,2172.5719997188485
1630002060203,2175.766017349753
1630002060220,2118.7569024673753
1630002060237,2175.466320795944
1630002060253,2314.0705227442872
1630002060270,2306.779790729346
1630002060287,2311.112969191031
1630002060303,2260.7046655512772
1630002060320,2173.660157937885
1630002060337,2165.0685535785583
1630002060353,2184.9341939152932
1630002060370,2217.9120679989933
1630002060387,2180.216495677524
1630002060403,2248.9614282617827
1630002060420,2159.9994908330323
1630002060437,2071.1110696489873
1630002060453,2144.2288727822133
1630002060470,2120.409304615502
1630002060487,2092.1697875556683
1630002060503,2009.1956834859707
1630002060520,1985.9451590450547
1630002060537,1937.958321403566
1630002060553,2015.7583378170284
1630002060570,1933.2739670043168
1630002060587,1940.5453314345473
1630002060603,1902.1642081543484
1630002060620,1986.9068596535262
1630002060637,2016.9189089416889
1630002060653,2221.1217614090497
1630002060670,2210.926065614912
1630002060687,2269.996716279345
1630002060703,2237.959561631493
1630002060720,2248.268065083667
1630002060737,2260.5258543487676
1630002060753,2217.2152609808027
1630002060770,2224.960154029032
1630002060787,2152.7119256995593
1630002060803,2151.245839619056
1630002060820,2130.6327021955963
1630002060837,2037.067583965687
1630002060853,1977.8607252791612
1630002060870,1946.364379617411
1630002060887,1965.0082256068704
1630002060903,2040.5171607998677
1630002060920,1998.4316413500262
1630002060937,2064.538749140057
1630002060953,2008.5628850872554
1630002060970,1946.6206385247476
1630002060987,1908.4338322038775
1630002061003,1892.8096908026725
1630002061020,2065.9602134368206
1630002061037,2079.5955496629
1630002061053,2001.9919670515053
1630002061070,1903.1344631943157
1630002061087,1848.4039436831913
1630002061103,1876.2495113406576
1630002061120,1806.8543929824718
1630002061137,1745.0894461890186
1630002061153,1694.3683637595611
1630002061170,1677.7513976433409
1630002061187,1692.548338030727
1630002061203,1619.7630923437162
1630002061224,1584.3037300143476
1630002061237,1539.696729051212
1630002061255,1575.8577065085797
1630002061270,1584.0643383140728
1630002061287,1631.5305543509703
1630002061303,1622.1164034210904
1630002061320,1623.907304244599
1630002061337,1631.7371661833954
1630002061353,1611.6405476421432
1630002061370,1574.7792857881457
1630002061387,1530.5970485567484
1630002061403,1588.3787547059844
1630002061420,1582.1469740690002
1630002061437,1646.2124526189257
1630002061453,1586.7496284572032
1630002061470,1541.3115816980705
1630002061487,1568.0337601779788
1630002061503,1574.040130029294
1630002061520,1542.3127208777169
1630002061537,1566.656667642023
1630002061553,1541.9476655709545
1630002061570,1580.1275469776033
1630002061587,1553.9809145083157
1630002061604,1633.7270640172017
1630002061620,1724.2804464368144
1630002061637,1705.1435437827392
1630002061654,1687.05507538358
1630002061670,1699.3034201635567
1630002061687,1838.8123066175272
1630002061703,1847.2016016405864
1630002061720,1832.9609541676639
1630002061737,1873.286881571741
1630002061753,1813.4351572577154
1630002061770,1827.115768251951
1630002061787,1771.021877535664
1630002061803,1808.2593371577598
1630002061820,1735.1008622277177
1630002061837,1802.133971660211
1630002061853,1817.1427245017087
1630002061870,1816.7226659098435
1630002061887,1815.915988940922
1630002061903,1801.7009838271804
1630002061920,1752.2608330511548
1630002061937,1771.6006572266417
1630002061954,1733.8593251235775
1630002061970,1815.7371435833932
1630002061987,1764.518590604301
1630002062003,1765.408716027356
1630002062020,1758.6286926760592
1630002062037,1815.3359038460394
1630002062053,1914.2969697386168
1630002062070,1937.2981346675388
1630002062087,1864.8416063873876
1630002062104,2041.4880433578098
1630002062120,2008.8490862735398
1630002062137,1975.0094155894294
1630002062153,1927.796755928111
1630002062170,1902.043117087479
1630002062187,1838.8288862774345
1630002062204,1841.9493780937985
1630002062220,1814.0529483777173
1630002062237,1815.046873070758
1630002062254,1804.8419292886435
1630002062270,1835.2788696438708
1630002062287,1913.0681299107525
1630002062304,1892.000282007027
1630002062320,1858.3361338809366
1630002062337,1773.2243731799467
1630002062353,1743.5095377694142
1630002062370,1696.6949378362629
1630002062387,1729.2602800403063
1630002062403,1711.4810309304385
1630002062420,1694.0063890031802
1630002062437,1733.6545261356496
1630002062453,1743.9849886054953
1630002062470,1750.5421247205509
1630002062487,1785.5537509732565
1630002062503,1772.5666216643197
1630002062520,1718.8715150399069
1630002062537,1725.575157462774
1630002062553,1693.6661852829418
1630002062570,1674.5395461869957
1630002062587,1622.0433666401793
1630002062603,1613.8984480804795
1630002062620,1555.3613546303825
1630002062637,1530.617735843939
1630002062653,1560.4069253908472
1630002062670,1609.0141047388909
1630002062687,1654.2175970108187
1630002062703,1602.9691943155394
1630002062720,1543.1430814429746
1630002062737,1578.480437963566
1630002062753,1522.3270513107016
1630002062770,1502.0713904128975
1630002062787,1519.775741913588
1630002062803,1704.1976793796077
1630002062820,1948.4704098160312
1630002062837,2093.868026780104
1630002062853,2009.7113235328884
1630002062870,2007.5886253260674
1630002062887,2051.2856823774932
1630002062903,2137.34468939198
1630002062920,2178.765521359482
1630002062937,2185.4116928060716
1630002062953,2076.6277994155234
1630002062970,2166.3989243966066
1630002062987,2069.98710819421
1630002063004,1992.4756017996103
1630002063020,1921.7737372760403
1630002063037,1851.0970675413296
1630002063053,1865.5506060083155
1630002063070,1836.838632785277
1630002063087,1777.4226190619925
1630002063103,1759.4054558193689
1630002063120,1724.8852418411427
1630002063137,1689.1518776357957
1630002063154,1617.5993361882827
1630002063170,1579.1232140869988
1630002063187,1524.660518310692
1630002063203,1598.2482427797413
1630002063220,1584.1906831491
1630002063237,1547.7912646234165
1630002063253,1588.8482005180222
1630002063270,1703.6845907973566
1630002063287,2040.068957948923
1630002063303,1967.195074606238
1630002063320,1968.1475653170678
1630002063337,2075.3129027554533
1630002063353,2041.4775409379756
1630002063370,2050.5194184220773
1630002063387,2032.249408069032
